Country@Tests@Tests/100K pop@Cases@New Cases@Cases/100K pop@Deaths@New Deaths@Deaths/100K pop@Test Trends
USA@16936891@5116.84@1897380@24720@573.22@109132@921@32.97@<span id="htmlwidget-0860897c906c829d14be" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-0860897c906c829d14be">{"x":{"values":[378410,356994,422024,335305,399479,413804,408415,342418,386162,379129,441027,302099,285440,453560,453474,395928,441448,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[10720185,11077179,11499203,11834508,12233987,12647791,13056206,13398624,13784786,14163915,14604942,14907041,15192481,15646041,16099515,16495443,16936891,16936891,16936891,16936891,16936891],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
Brazil@10605736@4989.55@614941@0@289.3@34021@0@16.01@<span id="htmlwidget-061ac0c2d7abb6d5296f" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-061ac0c2d7abb6d5296f">{"x":{"values":[0,0,0,0,0,3736,0,0,0,2163050,0,0,0,0,0,0,0,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[8438950,8438950,8438950,8438950,8438950,8442686,8442686,8442686,8442686,10605736,10605736,10605736,10605736,10605736,10605736,10605736,10605736,10605736,10605736,10605736,10605736],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
Russia@10316200@7069.09@449256@8718@307.85@5520@144@3.78@<span id="htmlwidget-904991b4336e142bdf80" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-904991b4336e142bdf80">{"x":{"values":[259748,230926,205302,225713,262851,285746,276121,282558,260079,0,470608,0,584069,316139,0,0,0,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[6916088,7147014,7352316,7578029,7840880,8126626,8402747,8685305,8945384,8945384,9415992,9415992,10000061,10316200,10316200,10316200,10316200,10316200,10316200,10316200,10316200],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
UK@4484340@6605.69@284734@1655@419.43@40344@357@59.43@<span id="htmlwidget-05b9b9b93433cc4d27ed" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-05b9b9b93433cc4d27ed">{"x":{"values":[270282,193153,0,89836,189675,128339,141355,116586,110398,73729,148661,117195,117013,119587,131458,115725,128437,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[2489563,2682716,2682716,2772552,2962227,3090566,3231921,3348507,3458905,3532634,3681295,3798490,3798490,3918079,4043686,4285738,4484340,4484340,4484340,4484340,4484340],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
Spain@1919411@4105.25@240978@318@515.41@27134@1@58.03@<span id="htmlwidget-b4402e613c25407281a1" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-b4402e613c25407281a1">{"x":{"values":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411,1919411],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
India@3837207@278.06@236184@9471@17.11@6649@286@0.48@<span id="htmlwidget-3dcf503b56107ff8b82b" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-3dcf503b56107ff8b82b">{"x":{"values":[94325,93365,75150,101475,108121,103532,103514,115364,108623,90170,92528,116041,119976,121702,127761,125428,100180,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[2134277,2227642,2302792,2404267,2512388,2615920,2719434,2834798,2943421,3033591,3126119,3242160,3362136,3483838,3611599,3737027,3837207,3837207,3837207,3837207,3837207],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
Italy@3910133@6467.09@234531@518@387.9@33774@85@55.86@<span id="htmlwidget-c4be7cbd9e8ae4508bbb" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-c4be7cbd9e8ae4508bbb">{"x":{"values":[69179,60101,36406,63158,67195,71679,75380,72410,55824,35241,57674,67324,0,75893,141477,54118,31394,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[2944859,3004960,3041366,3104524,3171719,3243398,3318778,3391188,3447012,3482253,3539927,3607251,3607251,3683144,3824621,3878739,3910133,3910133,3910133,3910133,3910133],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
France@1619477@2481.04@190180@611@291.36@29114@46@44.6@<span id="htmlwidget-ab3876fed93ab39b2c99" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-ab3876fed93ab39b2c99">{"x":{"values":[0,0,0,752956,0,47566,43702,0,35534,33268,0,0,20518,0,0,0,0,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[685933,685933,685933,1438889,1438889,1486455,1530157,1530157,1565691,1598959,1598959,1598959,1619477,1619477,1619477,1619477,1619477,1619477,1619477,1619477,1619477],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
Peru@1076659@3265.37@187400@4202@568.36@5162@131@15.66@<span id="htmlwidget-85e525a909a1df47a0b4" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-85e525a909a1df47a0b4">{"x":{"values":[25099,0,20131,28969,35841,0,21077,14026,37815,32626,0,54754,29557,23519,83911,0,63951,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[630482,630482,650613,679582,715423,715423,736500,750526,788341,820967,820967,875721,905278,928797,1012708,1012708,1076659,1076659,1076659,1076659,1076659],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
Germany@3595059@4290.87@184924@452@220.72@8658@23@10.33@<span id="htmlwidget-a4e16013ae8e7de31640" class="sparkline html-widget"></span><script type="application/json" data-for="htmlwidget-a4e16013ae8e7de31640">{"x":{"values":[0,0,0,0,0,447288,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null],"options":{"type":"bar","chartRangeMin":0,"tooltipFormat":"{{offset:names}}<br><span style='color: {{color}}'>&#9679;<\/span> New {{value}}","tooltipValueLookups":{"names":{"0":"2020-05-16","1":"2020-05-17","2":"2020-05-18","3":"2020-05-19","4":"2020-05-20","5":"2020-05-21","6":"2020-05-22","7":"2020-05-23","8":"2020-05-24","9":"2020-05-25","10":"2020-05-26","11":"2020-05-27","12":"2020-05-28","13":"2020-05-29","14":"2020-05-30","15":"2020-05-31","16":"2020-06-01","17":"2020-06-02","18":"2020-06-03","19":"2020-06-04","20":"2020-06-05"}},"colorMap":["#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#F39C11","#DB8B0A"],"height":20,"width":80},"width":80,"height":20,"composites":[{"values":[3147771,3147771,3147771,3147771,3147771,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059,3595059],"options":{"type":"line","fillColor":false,"lineColor":"#DB8B0A","tooltipFormat":"<span style='color: {{color}}'>&#9679;<\/span> Total {{y}}","height":20,"width":80,"composite":true}}]},"evals":[],"jsHooks":[]}</script>
