県名,日付,検査数,累積陽性者数,累積経路不明数,週間陽性率,日別経路不明数,日別陽性者数,週間陽性率（経路不明のみ）,日別検査数,陽性(発症日),陽性(経路不明)(発症日),陽性(渡航歴)(発症日)
岡山県,2020/2/16,6,0,0,0,0,0,0,1,0,0,0
広島県,2020/2/16,8,0,0,0,0,0,0,1,0,0,0
山口県,2020/2/16,8,0,0,0,0,0,0,1,0,0,0
徳島県,2020/2/16,0,0,0,N/A,0,0,N/A,0,0,0,0
香川県,2020/2/16,6,0,0,0,0,0,0,0,0,0,0
愛媛県,2020/2/16,3,0,0,0,0,0,0,0,0,0,0
高知県,2020/2/16,0,0,0,N/A,0,0,N/A,0,0,0,0
福岡県,2020/2/16,17,0,0,0,0,0,0,2,0,0,0
佐賀県,2020/2/16,0,0,0,N/A,0,0,N/A,0,0,0,0
長崎県,2020/2/16,3,0,0,0,0,0,0,0,0,0,0
熊本県,2020/2/16,59,0,0,0,0,0,0,3,0,0,0
大分県,2020/2/16,8,0,0,0,0,0,0,1,0,0,0
宮崎県,2020/2/16,8,0,0,0,0,0,0,1,0,0,0
鹿児島県,2020/2/16,20,0,0,0,0,0,0,1,0,0,0
沖縄県,2020/2/16,35,1,0,0.090909091,0,0,0,2,0,0,0
北海道,2020/2/17,56,2,1,0.058823529,0,0,0.058823529,2,5,3,0
青森県,2020/2/17,13,0,0,0,0,0,0,0,0,0,0
岩手県,2020/2/17,2,0,0,0,0,0,0,0,0,0,0
宮城県,2020/2/17,8,0,0,0,0,0,0,1,0,0,0
秋田県,2020/2/17,6,0,0,0,0,0,0,0,0,0,0
山形県,2020/2/17,7,0,0,0,0,0,0,0,0,0,0
福島県,2020/2/17,17,0,0,0,0,0,0,1,0,0,0
茨城県,2020/2/17,42,0,0,0,0,0,0,10,0,0,0
栃木県,2020/2/17,22,0,0,0,0,0,0,1,0,0,0
群馬県,2020/2/17,3,0,0,0,0,0,0,0,0,0,0
埼玉県,2020/2/17,25,3,0,0.05,0,0,0,6,0,0,0
千葉県,2020/2/17,38,6,1,0.045454545,0,0,0.045454545,2,0,0,0
東京都,2020/2/17,274,19,4,0.065843621,0,0,0.016460905,24,1,0,0
神奈川県,2020/2/17,471,5,1,0.027972028,0,1,0.006993007,20,0,0,0
新潟県,2020/2/17,35,0,0,0,0,0,0,2,0,0,0
富山県,2020/2/17,5,0,0,0,0,0,0,1,0,0,0
石川県,2020/2/17,56,0,0,0,0,0,0,2,0,0,0
福井県,2020/2/17,2,0,0,0,0,0,0,2,0,0,0
山梨県,2020/2/17,11,0,0,0,0,0,0,3,0,0,0
長野県,2020/2/17,6,0,0,0,0,0,0,1,0,0,0
岐阜県,2020/2/17,59,0,0,0,0,0,0,5,0,0,0
静岡県,2020/2/17,58,0,0,0,0,0,0,3,0,0,0
愛知県,2020/2/17,258,6,0,0.051282051,0,1,0,11,3,0,0
三重県,2020/2/17,15,1,0,0,0,0,0,6,0,0,0
滋賀県,2020/2/17,22,0,0,0,0,0,0,1,0,0,0
京都府,2020/2/17,32,2,1,0,0,0,0,2,0,0,0
大阪府,2020/2/17,27,1,0,0,0,0,0,3,1,1,0
兵庫県,2020/2/17,13,0,0,0,0,0,0,2,0,0,0
奈良県,2020/2/17,15,1,0,0,0,0,0,1,0,0,0
和歌山県,2020/2/17,145,9,2,0.062068966,1,4,0.013793103,47,0,0,0
鳥取県,2020/2/17,2,0,0,N/A,0,0,N/A,0,0,0,0
島根県,2020/2/17,15,0,0,0,0,0,0,1,0,0,0
岡山県,2020/2/17,6,0,0,0,0,0,0,0,0,0,0
広島県,2020/2/17,11,0,0,0,0,0,0,3,0,0,0
山口県,2020/2/17,8,0,0,0,0,0,0,0,0,0,0
徳島県,2020/2/17,0,0,0,N/A,0,0,N/A,0,0,0,0
香川県,2020/2/17,6,0,0,0,0,0,0,0,0,0,0
愛媛県,2020/2/17,3,0,0,0,0,0,0,0,0,0,0
高知県,2020/2/17,1,0,0,0,0,0,0,1,0,0,0
福岡県,2020/2/17,17,0,0,0,0,0,0,0,1,0,0
佐賀県,2020/2/17,0,0,0,N/A,0,0,N/A,0,0,0,0
長崎県,2020/2/17,3,0,0,0,0,0,0,0,0,0,0
熊本県,2020/2/17,62,0,0,0,0,0,0,3,1,1,0
大分県,2020/2/17,8,0,0,0,0,0,0,0,0,0,0
宮崎県,2020/2/17,8,0,0,0,0,0,0,0,0,0,0
鹿児島県,2020/2/17,21,0,0,0,0,0,0,1,0,0,0
沖縄県,2020/2/17,36,1,0,0.090909091,0,0,0,1,0,0,0
北海道,2020/2/18,59,2,1,0.058823529,0,0,0.058823529,3,10,9,0
青森県,2020/2/18,14,0,0,0,0,0,0,1,0,0,0
岩手県,2020/2/18,3,0,0,0,0,0,0,1,0,0,0
宮城県,2020/2/18,10,0,0,0,0,0,0,2,0,0,0
秋田県,2020/2/18,6,0,0,0,0,0,0,0,0,0,0
山形県,2020/2/18,9,0,0,0,0,0,0,2,0,0,0
福島県,2020/2/18,17,0,0,0,0,0,0,0,0,0,0
茨城県,2020/2/18,45,0,0,0,0,0,0,3,0,0,0
栃木県,2020/2/18,23,0,0,0,0,0,0,1,0,0,0
群馬県,2020/2/18,5,0,0,0,0,0,0,2,0,0,0
埼玉県,2020/2/18,29,3,0,0.043478261,0,0,0,4,0,0,0
千葉県,2020/2/18,56,6,1,0.025,0,0,0.025,18,0,0,0
東京都,2020/2/18,354,22,6,0.059006211,2,3,0.01863354,80,2,1,0
神奈川県,2020/2/18,492,6,2,0.027777778,1,1,0.013888889,21,2,1,0
新潟県,2020/2/18,36,0,0,0,0,0,0,1,0,0,0
富山県,2020/2/18,7,0,0,0,0,0,0,2,0,0,0
石川県,2020/2/18,59,0,0,0,0,0,0,3,0,0,0
福井県,2020/2/18,3,0,0,0,0,0,0,1,0,0,0
山梨県,2020/2/18,14,0,0,0,0,0,0,3,0,0,0
長野県,2020/2/18,10,0,0,0,0,0,0,4,0,0,0
岐阜県,2020/2/18,64,0,0,0,0,0,0,5,0,0,0
静岡県,2020/2/18,60,0,0,0,0,0,0,2,0,0,0
愛知県,2020/2/18,269,7,0,0.064102564,0,1,0,11,0,0,0
三重県,2020/2/18,17,1,0,0,0,0,0,2,0,0,0
滋賀県,2020/2/18,23,0,0,0,0,0,0,1,0,0,0
京都府,2020/2/18,33,2,1,0,0,0,0,1,1,0,0
大阪府,2020/2/18,32,1,0,0,0,0,0,5,0,0,0
兵庫県,2020/2/18,15,0,0,0,0,0,0,2,0,0,0
奈良県,2020/2/18,16,1,0,0,0,0,0,1,0,0,0
和歌山県,2020/2/18,193,12,2,0.062176166,0,3,0.010362694,48,0,0,0
鳥取県,2020/2/18,2,0,0,N/A,0,0,N/A,0,0,0,0
島根県,2020/2/18,15,0,0,0,0,0,0,0,0,0,0
岡山県,2020/2/18,7,0,0,0,0,0,0,1,0,0,0
広島県,2020/2/18,14,0,0,0,0,0,0,3,0,0,0
山口県,2020/2/18,8,0,0,0,0,0,0,0,0,0,0
徳島県,2020/2/18,0,0,0,N/A,0,0,N/A,0,0,0,0
香川県,2020/2/18,6,0,0,N/A,0,0,N/A,0,0,0,0
愛媛県,2020/2/18,3,0,0,0,0,0,0,0,0,0,0
高知県,2020/2/18,2,0,0,0,0,0,0,1,0,0,0
福岡県,2020/2/18,20,0,0,0,0,0,0,3,0,0,0
佐賀県,2020/2/18,1,0,0,0,0,0,0,1,0,0,0
長崎県,2020/2/18,3,0,0,0,0,0,0,0,0,0,0
熊本県,2020/2/18,64,0,0,0,0,0,0,2,0,0,0
大分県,2020/2/18,9,0,0,0,0,0,0,1,0,0,0
宮崎県,2020/2/18,9,0,0,0,0,0,0,1,0,0,0
鹿児島県,2020/2/18,22,0,0,0,0,0,0,1,0,0,0
沖縄県,2020/2/18,38,1,0,0.090909091,0,0,0,2,0,0,0
北海道,2020/2/19,61,4,3,0.176470588,2,2,0.176470588,2,5,4,0
青森県,2020/2/19,14,0,0,0,0,0,0,0,0,0,0
岩手県,2020/2/19,3,0,0,0,0,0,0,0,0,0,0
宮城県,2020/2/19,15,0,0,0,0,0,0,5,0,0,0
秋田県,2020/2/19,7,0,0,0,0,0,0,1,0,0,0
山形県,2020/2/19,12,0,0,0,0,0,0,3,0,0,0
福島県,2020/2/19,18,0,0,0,0,0,0,1,0,0,0
茨城県,2020/2/19,51,0,0,0,0,0,0,6,0,0,0
栃木県,2020/2/19,24,0,0,0,0,0,0,1,0,0,0
群馬県,2020/2/19,6,0,0,0,0,0,0,1,0,0,0
埼玉県,2020/2/19,39,3,0,0.03125,0,0,0,10,1,0,0
千葉県,2020/2/19,72,6,1,0.017857143,0,0,0.017857143,16,0,0,0
東京都,2020/2/19,384,25,7,0.063218391,1,3,0.020114943,30,1,0,0
神奈川県,2020/2/19,512,8,3,0.041958042,1,2,0.020979021,20,4,2,0
新潟県,2020/2/19,38,0,0,0,0,0,0,2,0,0,0
富山県,2020/2/19,8,0,0,0,0,0,0,1,0,0,0
石川県,2020/2/19,61,0,0,0,0,0,0,2,0,0,0
福井県,2020/2/19,7,0,0,0,0,0,0,4,0,0,0
山梨県,2020/2/19,19,0,0,0,0,0,0,5,0,0,0
長野県,2020/2/19,11,0,0,0,0,0,0,1,0,0,0
岐阜県,2020/2/19,69,0,0,0,0,0,0,5,0,0,0
静岡県,2020/2/19,63,0,0,0,0,0,0,3,0,0,0
愛知県,2020/2/19,281,8,0,0.075949367,0,1,0,12,3,0,0
三重県,2020/2/19,26,1,0,0,0,0,0,9,0,0,0
滋賀県,2020/2/19,24,0,0,0,0,0,0,1,0,0,0
京都府,2020/2/19,35,2,1,0,0,0,0,2,0,0,0
大阪府,2020/2/19,41,1,0,0,0,0,0,9,1,0,0
兵庫県,2020/2/19,23,0,0,0,0,0,0,8,0,0,0
奈良県,2020/2/19,16,1,0,0,0,0,0,0,0,0,0
和歌山県,2020/2/19,237,12,2,0.050632911,0,0,0.008438819,44,0,0,0
鳥取県,2020/2/19,2,0,0,N/A,0,0,N/A,0,0,0,0
島根県,2020/2/19,16,0,0,0,0,0,0,1,0,0,0
岡山県,2020/2/19,11,0,0,0,0,0,0,4,0,0,0
広島県,2020/2/19,17,0,0,0,0,0,0,3,0,0,0
山口県,2020/2/19,9,0,0,0,0,0,0,1,0,0,0
徳島県,2020/2/19,0,0,0,N/A,0,0,N/A,0,0,0,0
香川県,2020/2/19,8,0,0,0,0,0,0,2,0,0,0
愛媛県,2020/2/19,4,0,0,0,0,0,0,1,0,0,0
高知県,2020/2/19,2,0,0,0,0,0,0,0,0,0,0
福岡県,2020/2/19,29,0,0,0,0,0,0,9,1,1,0
佐賀県,2020/2/19,4,0,0,0,0,0,0,3,0,0,0
長崎県,2020/2/19,6,0,0,0,0,0,0,3,0,0,0
熊本県,2020/2/19,67,0,0,0,0,0,0,3,0,0,0
大分県,2020/2/19,11,0,0,0,0,0,0,2,0,0,0
宮崎県,2020/2/19,10,0,0,0,0,0,0,1,0,0,0
鹿児島県,2020/2/19,23,0,0,0,0,0,0,1,0,0,0
沖縄県,2020/2/19,45,2,0,0.125,0,1,0,7,0,0,0
北海道,2020/2/20,64,5,3,0.222222222,0,1,0.166666667,3,6,5,0
青森県,2020/2/20,15,0,0,0,0,0,0,1,0,0,0
岩手県,2020/2/20,4,0,0,0,0,0,0,1,0,0,0
宮城県,2020/2/20,17,0,0,0,0,0,0,2,0,0,0
秋田県,2020/2/20,7,0,0,0,0,0,0,0,0,0,0
山形県,2020/2/20,14,0,0,0,0,0,0,2,0,0,0
福島県,2020/2/20,19,0,0,0,0,0,0,1,0,0,0
茨城県,2020/2/20,58,0,0,0,0,0,0,7,0,0,0
栃木県,2020/2/20,25,0,0,0,0,0,0,1,0,0,0
群馬県,2020/2/20,9,0,0,0,0,0,0,3,0,0,0
埼玉県,2020/2/20,49,3,0,0.025,0,0,0,10,0,0,0
千葉県,2020/2/20,89,7,2,0.014084507,1,1,0.014084507,17,0,0,0
東京都,2020/2/20,415,25,7,0.055851064,0,0,0.015957447,31,1,0,0
神奈川県,2020/2/20,533,10,4,0.048611111,1,2,0.020833333,21,3,2,0
新潟県,2020/2/20,39,0,0,0,0,0,0,1,0,0,0
富山県,2020/2/20,9,0,0,0,0,0,0,1,0,0,0
石川県,2020/2/20,64,0,0,0,0,0,0,3,0,0,0
福井県,2020/2/20,10,0,0,0,0,0,0,3,0,0,0
山梨県,2020/2/20,20,0,0,0,0,0,0,1,0,0,0
長野県,2020/2/20,17,0,0,0,0,0,0,6,1,1,0
岐阜県,2020/2/20,74,0,0,0,0,0,0,5,0,0,0
静岡県,2020/2/20,65,0,0,0,0,0,0,2,0,0,0
愛知県,2020/2/20,292,9,0,0.088607595,0,1,0,11,5,0,0
三重県,2020/2/20,30,1,0,0,0,0,0,4,0,0,0
滋賀県,2020/2/20,25,0,0,0,0,0,0,1,0,0,0
京都府,2020/2/20,36,2,1,0,0,0,0,1,0,0,0
大阪府,2020/2/20,60,1,0,0,0,0,0,19,3,0,0
兵庫県,2020/2/20,26,0,0,0,0,0,0,3,0,0,0
奈良県,2020/2/20,17,1,0,0,0,0,0,1,0,0,0
和歌山県,2020/2/20,303,12,2,0.036666667,0,0,0.006666667,66,0,0,0
鳥取県,2020/2/20,2,0,0,N/A,0,0,N/A,0,0,0,0
島根県,2020/2/20,17,0,0,0,0,0,0,1,0,0,0
岡山県,2020/2/20,13,0,0,0,0,0,0,2,0,0,0
広島県,2020/2/20,21,0,0,0,0,0,0,4,0,0,0
山口県,2020/2/20,9,0,0,0,0,0,0,0,0,0,0
徳島県,2020/2/20,3,0,0,0,0,0,0,3,0,0,0
香川県,2020/2/20,10,0,0,0,0,0,0,2,0,0,0
愛媛県,2020/2/20,6,0,0,0,0,0,0,2,0,0,0
高知県,2020/2/20,2,0,0,0,0,0,0,0,0,0,0
福岡県,2020/2/20,35,2,1,0.083333333,1,2,0.041666667,6,0,0,0
佐賀県,2020/2/20,7,0,0,0,0,0,0,3,0,0,0
長崎県,2020/2/20,9,0,0,0,0,0,0,3,0,0,0
熊本県,2020/2/20,70,0,0,0,0,0,0,3,2,0,0
大分県,2020/2/20,12,0,0,0,0,0,0,1,0,0,0
宮崎県,2020/2/20,10,0,0,0,0,0,0,0,0,0,0
鹿児島県,2020/2/20,24,0,0,0,0,0,0,1,0,0,0
沖縄県,2020/2/20,45,3,1,0.2,1,1,0.066666667,0,0,0,0
北海道,2020/2/21,66,8,6,0.352941176,3,3,0.294117647,2,9,7,0
青森県,2020/2/21,16,0,0,0,0,0,0,1,0,0,0
岩手県,2020/2/21,4,0,0,0,0,0,0,0,0,0,0
宮城県,2020/2/21,18,0,0,0,0,0,0,1,0,0,0
秋田県,2020/2/21,10,0,0,0,0,0,0,3,0,0,0
山形県,2020/2/21,16,0,0,0,0,0,0,2,0,0,0
福島県,2020/2/21,20,0,0,0,0,0,0,1,0,0,0
茨城県,2020/2/21,69,0,0,0,0,0,0,11,0,0,0
栃木県,2020/2/21,29,0,0,0,0,0,0,4,1,0,0
群馬県,2020/2/21,12,0,0,0,0,0,0,3,0,0,0
埼玉県,2020/2/21,56,4,0,0.02173913,0,1,0,7,0,0,0
千葉県,2020/2/21,110,8,3,0.022222222,1,1,0.022222222,21,0,0,0
東京都,2020/2/21,445,28,8,0.079710145,1,3,0.02173913,30,0,0,0
神奈川県,2020/2/21,553,13,5,0.062937063,1,3,0.027972028,20,2,1,0
新潟県,2020/2/21,41,0,0,0,0,0,0,2,0,0,0
富山県,2020/2/21,10,0,0,0,0,0,0,1,0,0,0
石川県,2020/2/21,66,1,1,0.058823529,1,1,0.058823529,2,0,0,0
福井県,2020/2/21,12,0,0,0,0,0,0,2,0,0,0
山梨県,2020/2/21,32,0,0,0,0,0,0,12,0,0,0
長野県,2020/2/21,22,0,0,0,0,0,0,5,0,0,0
岐阜県,2020/2/21,79,0,0,0,0,0,0,5,0,0,0
静岡県,2020/2/21,68,0,0,0,0,0,0,3,0,0,0
愛知県,2020/2/21,303,11,0,0.102564103,0,2,0,11,1,0,0
三重県,2020/2/21,31,1,0,0,0,0,0,1,0,0,0
滋賀県,2020/2/21,26,0,0,0,0,0,0,1,0,0,0
京都府,2020/2/21,43,2,1,0,0,0,0,7,1,0,0
大阪府,2020/2/21,69,1,0,0,0,0,0,9,1,0,0
兵庫県,2020/2/21,33,0,0,0,0,0,0,7,1,0,0
奈良県,2020/2/21,18,1,0,0,0,0,0,1,0,0,0
和歌山県,2020/2/21,461,12,2,0.022522523,0,0,0.002252252,158,0,0,0
鳥取県,2020/2/21,4,0,0,0,0,0,0,2,0,0,0
島根県,2020/2/21,17,0,0,0,0,0,0,0,0,0,0
岡山県,2020/2/21,17,0,0,0,0,0,0,4,0,0,0
広島県,2020/2/21,24,0,0,0,0,0,0,3,0,0,0
山口県,2020/2/21,12,0,0,0,0,0,0,3,0,0,0
徳島県,2020/2/21,6,0,0,0,0,0,0,3,0,0,0
香川県,2020/2/21,13,0,0,0,0,0,0,3,0,0,0
愛媛県,2020/2/21,7,0,0,0,0,0,0,1,0,0,0
高知県,2020/2/21,3,0,0,0,0,0,0,1,0,0,0
福岡県,2020/2/21,45,2,1,0.064516129,0,0,0.032258065,10,0,0,0
佐賀県,2020/2/21,8,0,0,0,0,0,0,1,0,0,0
長崎県,2020/2/21,12,0,0,0,0,0,0,3,0,0,0
熊本県,2020/2/21,72,0,0,0,0,0,0,2,0,0,0
大分県,2020/2/21,14,0,0,0,0,0,0,2,0,0,0
宮崎県,2020/2/21,11,0,0,0,0,0,0,1,0,0,0
鹿児島県,2020/2/21,25,0,0,0,0,0,0,1,0,0,0
沖縄県,2020/2/21,50,3,1,0.111111111,0,0,0.055555556,5,0,0,0
北海道,2020/2/22,92,17,14,0.365853659,8,9,0.317073171,26,5,4,0
青森県,2020/2/22,16,0,0,0,0,0,0,0,0,0,0
岩手県,2020/2/22,4,0,0,0,0,0,0,0,0,0,0
宮城県,2020/2/22,19,0,0,0,0,0,0,1,0,0,0
秋田県,2020/2/22,14,0,0,0,0,0,0,4,0,0,0
山形県,2020/2/22,17,0,0,0,0,0,0,1,0,0,0
福島県,2020/2/22,20,0,0,0,0,0,0,0,0,0,0
茨城県,2020/2/22,76,0,0,0,0,0,0,7,0,0,0
栃木県,2020/2/22,32,1,0,0.083333333,0,1,0,3,0,0,0
群馬県,2020/2/22,12,0,0,0,0,0,0,0,0,0,0
埼玉県,2020/2/22,61,4,0,0.021276596,0,0,0,5,0,0,0
千葉県,2020/2/22,129,10,5,0.03960396,2,2,0.03960396,19,3,0,0
東京都,2020/2/22,467,29,8,0.066964286,0,1,0.022321429,22,1,0,0
神奈川県,2020/2/22,574,17,6,0.090277778,1,4,0.034722222,21,0,0,0
新潟県,2020/2/22,42,0,0,0,0,0,0,1,1,0,0
富山県,2020/2/22,12,0,0,0,0,0,0,2,0,0,0
石川県,2020/2/22,69,2,1,0.111111111,0,1,0.055555556,3,0,0,0
福井県,2020/2/22,13,0,0,0,0,0,0,1,0,0,0
山梨県,2020/2/22,33,0,0,0,0,0,0,1,0,0,0
長野県,2020/2/22,25,0,0,0,0,0,0,3,0,0,0
岐阜県,2020/2/22,84,0,0,0,0,0,0,5,0,0,0
静岡県,2020/2/22,70,0,0,0,0,0,0,2,0,0,0
愛知県,2020/2/22,314,15,0,0.141025641,0,4,0,11,2,0,0
三重県,2020/2/22,37,1,0,0,0,0,0,6,0,0,0
滋賀県,2020/2/22,27,0,0,0,0,0,0,1,0,0,0
京都府,2020/2/22,50,2,1,0,0,0,0,7,0,0,0
大阪府,2020/2/22,78,1,0,0,0,0,0,9,5,0,0
兵庫県,2020/2/22,38,0,0,0,0,0,0,5,1,0,0
奈良県,2020/2/22,18,1,0,0,0,0,0,0,0,0,0
和歌山県,2020/2/22,548,13,2,0.016227181,0,1,0.002028398,87,0,0,0
鳥取県,2020/2/22,4,0,0,0,0,0,0,0,0,0,0
島根県,2020/2/22,18,0,0,0,0,0,0,1,0,0,0
岡山県,2020/2/22,18,0,0,0,0,0,0,1,0,0,0
広島県,2020/2/22,27,0,0,0,0,0,0,3,0,0,0
山口県,2020/2/22,15,0,0,0,0,0,0,3,0,0,0
徳島県,2020/2/22,6,0,0,0,0,0,0,0,0,0,0
香川県,2020/2/22,14,0,0,0,0,0,0,1,0,0,0
愛媛県,2020/2/22,9,0,0,0,0,0,0,2,0,0,0
高知県,2020/2/22,5,0,0,0,0,0,0,2,0,0,0
福岡県,2020/2/22,55,2,1,0.05,0,0,0.025,10,0,0,0
佐賀県,2020/2/22,9,0,0,0,0,0,0,1,0,0,0
長崎県,2020/2/22,15,0,0,0,0,0,0,3,0,0,0
熊本県,2020/2/22,75,3,2,0.157894737,2,3,0.105263158,3,0,0,0
大分県,2020/2/22,15,0,0,0,0,0,0,1,0,0,0
宮崎県,2020/2/22,12,0,0,0,0,0,0,1,0,0,0
鹿児島県,2020/2/22,25,0,0,0,0,0,0,0,0,0,0
沖縄県,2020/2/22,63,3,1,0.066666667,0,0,0.033333333,13,0,0,0
北海道,2020/2/23,118,24,19,0.34375,5,7,0.28125,26,2,1,0
青森県,2020/2/23,17,0,0,0,0,0,0,1,0,0,0
岩手県,2020/2/23,5,0,0,0,0,0,0,1,0,0,0
宮城県,2020/2/23,20,0,0,0,0,0,0,1,0,0,0
秋田県,2020/2/23,17,0,0,0,0,0,0,3,0,0,0
山形県,2020/2/23,19,0,0,0,0,0,0,2,0,0,0
福島県,2020/2/23,21,0,0,0,0,0,0,1,0,0,0
茨城県,2020/2/23,80,0,0,0,0,0,0,4,0,0,0
栃木県,2020/2/23,36,1,0,0.066666667,0,0,0,4,0,0,0
群馬県,2020/2/23,12,0,0,0,0,0,0,0,0,0,0
埼玉県,2020/2/23,66,4,0,0.021276596,0,0,0,5,1,1,0
千葉県,2020/2/23,158,11,6,0.040983607,1,1,0.040983607,29,1,0,0
東京都,2020/2/23,489,29,8,0.041841004,0,0,0.016736402,22,3,1,0
神奈川県,2020/2/23,594,17,6,0.090909091,0,0,0.034965035,20,1,0,0
新潟県,2020/2/23,44,0,0,0,0,0,0,2,1,0,0
富山県,2020/2/23,13,0,0,0,0,0,0,1,0,0,0
石川県,2020/2/23,71,2,1,0.117647059,0,0,0.058823529,2,0,0,0
福井県,2020/2/23,15,0,0,0,0,0,0,2,0,0,0
山梨県,2020/2/23,33,0,0,0,0,0,0,0,0,0,0
長野県,2020/2/23,33,0,0,0,0,0,0,8,1,0,0
岐阜県,2020/2/23,89,0,0,0,0,0,0,5,1,0,0
静岡県,2020/2/23,73,0,0,0,0,0,0,3,0,0,0
愛知県,2020/2/23,326,17,0,0.151898734,0,2,0,12,5,1,0
三重県,2020/2/23,38,1,0,0,0,0,0,1,0,0,0
滋賀県,2020/2/23,28,0,0,0,0,0,0,1,0,0,0
京都府,2020/2/23,57,2,1,0,0,0,0,7,0,0,0
大阪府,2020/2/23,87,1,0,0,0,0,0,9,7,2,0
兵庫県,2020/2/23,41,0,0,0,0,0,0,3,3,0,0
奈良県,2020/2/23,19,1,0,0,0,0,0,1,0,0,0
和歌山県,2020/2/23,670,13,2,0.013986014,0,0,0.001748252,122,0,0,0
鳥取県,2020/2/23,4,0,0,0,0,0,0,0,0,0,0
島根県,2020/2/23,18,0,0,0,0,0,0,0,0,0,0
岡山県,2020/2/23,21,0,0,0,0,0,0,3,0,0,0
広島県,2020/2/23,30,0,0,0,0,0,0,3,0,0,0
山口県,2020/2/23,18,0,0,0,0,0,0,3,1,1,0
徳島県,2020/2/23,6,0,0,0,0,0,0,0,0,0,0
香川県,2020/2/23,18,0,0,0,0,0,0,4,0,0,0
愛媛県,2020/2/23,10,0,0,0,0,0,0,1,0,0,0
高知県,2020/2/23,5,0,0,0,0,0,0,0,0,0,0
福岡県,2020/2/23,64,2,1,0.042553191,0,0,0.021276596,9,0,0,0
佐賀県,2020/2/23,9,0,0,0,0,0,0,0,0,0,0
長崎県,2020/2/23,18,0,0,0,0,0,0,3,0,0,0
熊本県,2020/2/23,78,3,2,0.157894737,0,0,0.105263158,3,0,0,0
大分県,2020/2/23,17,0,0,0,0,0,0,2,1,1,0
宮崎県,2020/2/23,12,0,0,0,0,0,0,0,0,0,0
鹿児島県,2020/2/23,26,0,0,0,0,0,0,1,0,0,0
沖縄県,2020/2/23,63,3,1,0.071428571,0,0,0.035714286,0,0,0,0
北海道,2020/2/24,144,30,22,0.318181818,3,6,0.238636364,26,8,7,0
青森県,2020/2/24,17,0,0,0,0,0,0,0,0,0,0
岩手県,2020/2/24,5,0,0,0,0,0,0,0,0,0,0
宮城県,2020/2/24,23,0,0,0,0,0,0,3,0,0,0
秋田県,2020/2/24,20,0,0,0,0,0,0,3,0,0,0
山形県,2020/2/24,20,0,0,0,0,0,0,1,0,0,0
福島県,2020/2/24,25,0,0,0,0,0,0,4,0,0,0
茨城県,2020/2/24,80,0,0,0,0,0,0,0,0,0,0
栃木県,2020/2/24,39,1,0,0.058823529,0,0,0,3,0,0,0
群馬県,2020/2/24,12,0,0,0,0,0,0,0,0,0,0
埼玉県,2020/2/24,72,4,0,0.021276596,0,0,0,6,0,0,0
千葉県,2020/2/24,171,11,6,0.037593985,0,0,0.037593985,13,2,2,0
東京都,2020/2/24,510,32,10,0.055084746,2,3,0.025423729,21,2,1,0
神奈川県,2020/2/24,615,18,7,0.090277778,1,1,0.041666667,21,2,1,0
新潟県,2020/2/24,45,0,0,0,0,0,0,1,1,0,0
富山県,2020/2/24,14,0,0,0,0,0,0,1,0,0,0
石川県,2020/2/24,74,4,1,0.222222222,0,2,0.055555556,3,0,0,0
福井県,2020/2/24,16,0,0,0,0,0,0,1,0,0,0
山梨県,2020/2/24,35,0,0,0,0,0,0,2,0,0,0
長野県,2020/2/24,35,0,0,0,0,0,0,2,0,0,0
岐阜県,2020/2/24,94,0,0,0,0,0,0,5,0,0,0
静岡県,2020/2/24,75,0,0,0,0,0,0,2,0,0,0
愛知県,2020/2/24,337,17,0,0.139240506,0,0,0,11,5,0,0
三重県,2020/2/24,38,1,0,0,0,0,0,0,0,0,0
滋賀県,2020/2/24,29,0,0,0,0,0,0,1,1,1,0
京都府,2020/2/24,64,2,1,0,0,0,0,7,0,0,0
大阪府,2020/2/24,88,1,0,0,0,0,0,1,1,0,0
兵庫県,2020/2/24,42,0,0,0,0,0,0,1,1,0,0
奈良県,2020/2/24,20,1,0,0,0,0,0,1,0,0,0
和歌山県,2020/2/24,698,13,2,0.007233273,0,0,0,28,0,0,0
鳥取県,2020/2/24,4,0,0,0,0,0,0,0,0,0,0
島根県,2020/2/24,19,0,0,0,0,0,0,1,0,0,0
岡山県,2020/2/24,22,0,0,0,0,0,0,1,0,0,0
広島県,2020/2/24,41,0,0,0,0,0,0,11,0,0,0
山口県,2020/2/24,21,0,0,0,0,0,0,3,0,0,0
徳島県,2020/2/24,6,0,0,0,0,0,0,0,0,0,0
香川県,2020/2/24,19,0,0,0,0,0,0,1,0,0,0
愛媛県,2020/2/24,18,0,0,0,0,0,0,8,0,0,0
高知県,2020/2/24,5,0,0,0,0,0,0,0,2,0,0
福岡県,2020/2/24,73,2,1,0.035714286,0,0,0.017857143,9,0,0,0
佐賀県,2020/2/24,10,0,0,0,0,0,0,1,0,0,0
長崎県,2020/2/24,21,0,0,0,0,0,0,3,0,0,0
熊本県,2020/2/24,80,3,2,0.166666667,0,0,0.111111111,2,0,0,0
大分県,2020/2/24,18,0,0,0,0,0,0,1,0,0,0
宮崎県,2020/2/24,13,0,0,0,0,0,0,1,0,0,0
鹿児島県,2020/2/24,27,0,0,0,0,0,0,1,0,0,0
沖縄県,2020/2/24,71,3,1,0.057142857,0,0,0.028571429,8,0,0,0
北海道,2020/2/25,170,31,22,0.261261261,0,1,0.189189189,26,6,3,0
