全国地方公共団体コード,都道府県名,受付_年月日,相談件数
20001,青森県,2022年5月19日,345
20001,青森県,2022年5月18日,327
20001,青森県,2022年5月17日,362
20001,青森県,2022年5月16日,378
20001,青森県,2022年5月15日,99
20001,青森県,2022年5月14日,156
20001,青森県,2022年5月13日,349
20001,青森県,2022年5月12日,297
20001,青森県,2022年5月11日,317
20001,青森県,2022年5月10日,381
20001,青森県,2022年5月9日,378
20001,青森県,2022年5月8日,208
20001,青森県,2022年5月7日,198
20001,青森県,2022年5月6日,348
20001,青森県,2022年5月5日,209
20001,青森県,2022年5月4日,210
20001,青森県,2022年5月3日,119
20001,青森県,2022年5月2日,290
20001,青森県,2022年5月1日,79
20001,青森県,2022年4月30日,186
20001,青森県,2022年4月29日,190
20001,青森県,2022年4月28日,314
20001,青森県,2022年4月27日,273
20001,青森県,2022年4月26日,312
20001,青森県,2022年4月25日,517
20001,青森県,2022年4月24日,193
20001,青森県,2022年4月23日,152
20001,青森県,2022年4月22日,325
20001,青森県,2022年4月21日,404
20001,青森県,2022年4月20日,346
20001,青森県,2022年4月19日,319
20001,青森県,2022年4月18日,424
20001,青森県,2022年4月17日,131
20001,青森県,2022年4月16日,180
20001,青森県,2022年4月15日,335
20001,青森県,2022年4月14日,387
20001,青森県,2022年4月13日,383
20001,青森県,2022年4月12日,322
20001,青森県,2022年4月11日,463
20001,青森県,2022年4月10日,222
20001,青森県,2022年4月9日,205
20001,青森県,2022年4月8日,433
20001,青森県,2022年4月7日,428
20001,青森県,2022年4月6日,388
20001,青森県,2022年4月5日,440
20001,青森県,2022年4月4日,437
20001,青森県,2022年4月3日,111
20001,青森県,2022年4月2日,215
20001,青森県,2022年4月1日,343
20001,青森県,2022年3月31日,317
20001,青森県,2022年3月30日,346
20001,青森県,2022年3月29日,417
20001,青森県,2022年3月28日,399
20001,青森県,2022年3月27日,150
20001,青森県,2022年3月26日,180
20001,青森県,2022年3月25日,363
20001,青森県,2022年3月24日,412
20001,青森県,2022年3月23日,432
20001,青森県,2022年3月22日,343
20001,青森県,2022年3月21日,247
20001,青森県,2022年3月20日,96
20001,青森県,2022年3月19日,268
20001,青森県,2022年3月18日,357
20001,青森県,2022年3月17日,439
20001,青森県,2022年3月16日,482
20001,青森県,2022年3月15日,403
20001,青森県,2022年3月14日,323
20001,青森県,2022年3月13日,168
20001,青森県,2022年3月12日,224
20001,青森県,2022年3月11日,365
20001,青森県,2022年3月10日,393
20001,青森県,2022年3月9日,310
20001,青森県,2022年3月8日,419
20001,青森県,2022年3月7日,356
20001,青森県,2022年3月6日,174
20001,青森県,2022年3月5日,230
20001,青森県,2022年3月4日,321
20001,青森県,2022年3月3日,394
20001,青森県,2022年3月2日,400
20001,青森県,2022年3月1日,380
20001,青森県,2022年2月28日,421
20001,青森県,2022年2月27日,175
20001,青森県,2022年2月26日,182
20001,青森県,2022年2月25日,287
20001,青森県,2022年2月24日,387
20001,青森県,2022年2月23日,140
20001,青森県,2022年2月22日,266
20001,青森県,2022年2月21日,353
20001,青森県,2022年2月20日,73
20001,青森県,2022年2月19日,159
20001,青森県,2022年2月18日,296
20001,青森県,2022年2月17日,302
20001,青森県,2022年2月16日,259
20001,青森県,2022年2月15日,307
20001,青森県,2022年2月14日,319
20001,青森県,2022年2月13日,140
20001,青森県,2022年2月12日,234
20001,青森県,2022年2月11日,255
20001,青森県,2022年2月10日,392
20001,青森県,2022年2月9日,353
20001,青森県,2022年2月8日,349
20001,青森県,2022年2月7日,308
20001,青森県,2022年2月6日,78
20001,青森県,2022年2月5日,79
20001,青森県,2022年2月4日,249
20001,青森県,2022年2月3日,229
20001,青森県,2022年2月2日,291
20001,青森県,2022年2月1日,305
20001,青森県,2022年1月31日,358
20001,青森県,2022年1月30日,176
20001,青森県,2022年1月29日,135
20001,青森県,2022年1月28日,358
20001,青森県,2022年1月27日,272
20001,青森県,2022年1月26日,245
20001,青森県,2022年1月25日,239
20001,青森県,2022年1月24日,264
20001,青森県,2022年1月23日,111
20001,青森県,2022年1月22日,112
20001,青森県,2022年1月21日,225
20001,青森県,2022年1月20日,187
20001,青森県,2022年1月19日,232
20001,青森県,2022年1月18日,210
20001,青森県,2022年1月17日,264
20001,青森県,2022年1月16日,97
20001,青森県,2022年1月15日,124
20001,青森県,2022年1月14日,205
20001,青森県,2022年1月13日,150
20001,青森県,2022年1月12日,127
20001,青森県,2022年1月11日,88
20001,青森県,2022年1月10日,25
20001,青森県,2022年1月9日,32
20001,青森県,2022年1月8日,12
20001,青森県,2022年1月7日,47
20001,青森県,2022年1月6日,52
20001,青森県,2022年1月5日,38
20001,青森県,2022年1月4日,36
20001,青森県,2022年1月3日,10
20001,青森県,2022年1月2日,3
20001,青森県,2022年1月1日,9
20001,青森県,2021年12月31日,8
20001,青森県,2021年12月30日,6
20001,青森県,2021年12月29日,12
20001,青森県,2021年12月28日,17
20001,青森県,2021年12月27日,23
20001,青森県,2021年12月26日,5
20001,青森県,2021年12月25日,1
20001,青森県,2021年12月24日,9
20001,青森県,2021年12月23日,20
20001,青森県,2021年12月22日,16
20001,青森県,2021年12月21日,19
20001,青森県,2021年12月20日,11
20001,青森県,2021年12月19日,1
20001,青森県,2021年12月18日,2
20001,青森県,2021年12月17日,17
20001,青森県,2021年12月16日,13
20001,青森県,2021年12月15日,13
20001,青森県,2021年12月14日,11
20001,青森県,2021年12月13日,21
20001,青森県,2021年12月12日,1
20001,青森県,2021年12月11日,1
20001,青森県,2021年12月10日,17
20001,青森県,2021年12月9日,13
20001,青森県,2021年12月8日,10
20001,青森県,2021年12月7日,11
20001,青森県,2021年12月6日,21
20001,青森県,2021年12月5日,3
20001,青森県,2021年12月4日,0
20001,青森県,2021年12月3日,7
20001,青森県,2021年12月2日,11
20001,青森県,2021年12月1日,10
20001,青森県,2021年11月30日,13
20001,青森県,2021年11月29日,16
20001,青森県,2021年11月28日,0
20001,青森県,2021年11月27日,0
20001,青森県,2021年11月26日,11
20001,青森県,2021年11月25日,7
20001,青森県,2021年11月24日,23
20001,青森県,2021年11月23日,3
20001,青森県,2021年11月22日,15
20001,青森県,2021年11月21日,2
20001,青森県,2021年11月20日,2
20001,青森県,2021年11月19日,19
20001,青森県,2021年11月18日,17
20001,青森県,2021年11月17日,9
20001,青森県,2021年11月16日,6
20001,青森県,2021年11月15日,20
20001,青森県,2021年11月14日,0
20001,青森県,2021年11月13日,2
20001,青森県,2021年11月12日,11
20001,青森県,2021年11月11日,14
20001,青森県,2021年11月10日,14
20001,青森県,2021年11月9日,23
20001,青森県,2021年11月8日,11
20001,青森県,2021年11月7日,2
20001,青森県,2021年11月6日,2
20001,青森県,2021年11月5日,13
20001,青森県,2021年11月4日,14
20001,青森県,2021年11月3日,3
20001,青森県,2021年11月2日,20
20001,青森県,2021年11月1日,22
20001,青森県,2021年10月31日,2
20001,青森県,2021年10月30日,2
20001,青森県,2021年10月29日,20
20001,青森県,2021年10月28日,23
20001,青森県,2021年10月27日,13
20001,青森県,2021年10月26日,32
20001,青森県,2021年10月25日,35
20001,青森県,2021年10月24日,3
20001,青森県,2021年10月23日,7
20001,青森県,2021年10月22日,29
20001,青森県,2021年10月21日,18
20001,青森県,2021年10月20日,21
