全国地方公共団体コード,都道府県名,受付_年月日,相談件数
20001,青森県,2020年11月23日,34
20001,青森県,2020年11月22日,22
20001,青森県,2020年11月21日,28
20001,青森県,2020年11月20日,89
20001,青森県,2020年11月19日,104
20001,青森県,2020年11月18日,109
20001,青森県,2020年11月17日,96
20001,青森県,2020年11月16日,172
20001,青森県,2020年11月15日,33
20001,青森県,2020年11月14日,47
20001,青森県,2020年11月13日,104
20001,青森県,2020年11月12日,87
20001,青森県,2020年11月11日,111
20001,青森県,2020年11月10日,83
20001,青森県,2020年11月9日,157
20001,青森県,2020年11月8日,48
20001,青森県,2020年11月7日,79
20001,青森県,2020年11月6日,157
20001,青森県,2020年11月5日,181
20001,青森県,2020年11月4日,202
20001,青森県,2020年11月3日,99
20001,青森県,2020年11月2日,306
20001,青森県,2020年11月1日,106
20001,青森県,2020年10月31日,100
20001,青森県,2020年10月30日,204
20001,青森県,2020年10月29日,196
20001,青森県,2020年10月28日,151
20001,青森県,2020年10月27日,244
20001,青森県,2020年10月26日,207
20001,青森県,2020年10月25日,54
20001,青森県,2020年10月24日,82
20001,青森県,2020年10月23日,180
20001,青森県,2020年10月22日,210
20001,青森県,2020年10月21日,192
20001,青森県,2020年10月20日,251
20001,青森県,2020年10月19日,303
20001,青森県,2020年10月18日,135
20001,青森県,2020年10月17日,158
20001,青森県,2020年10月16日,194
20001,青森県,2020年10月15日,62
20001,青森県,2020年10月14日,57
20001,青森県,2020年10月13日,86
20001,青森県,2020年10月12日,107
20001,青森県,2020年10月11日,9
20001,青森県,2020年10月10日,19
20001,青森県,2020年10月9日,72
20001,青森県,2020年10月8日,57
20001,青森県,2020年10月7日,61
20001,青森県,2020年10月6日,58
20001,青森県,2020年10月5日,85
20001,青森県,2020年10月4日,18
20001,青森県,2020年10月3日,24
20001,青森県,2020年10月2日,64
20001,青森県,2020年10月1日,65
20001,青森県,2020年9月30日,88
20001,青森県,2020年9月29日,74
20001,青森県,2020年9月28日,74
20001,青森県,2020年9月27日,9
20001,青森県,2020年9月26日,22
20001,青森県,2020年9月25日,54
20001,青森県,2020年9月24日,60
20001,青森県,2020年9月23日,104
20001,青森県,2020年9月22日,9
20001,青森県,2020年9月21日,15
20001,青森県,2020年9月20日,13
20001,青森県,2020年9月19日,12
20001,青森県,2020年9月18日,45
20001,青森県,2020年9月17日,49
20001,青森県,2020年9月16日,56
20001,青森県,2020年9月15日,53
