検査日時,実施数,陽性数,陰性数
2020年4月2日,10,1,9
2020年4月1日,11,0,11
2020年3月31日,8,0,8
2020年3月30日,5,1,4
2020年3月29日,3,0,3
2020年3月28日,6,1,5
2020年3月27日,7,0,7
2020年3月26日,12,0,12
2020年3月25日,16,4,12
2020年3月24日,4,0,4
2020年3月23日,3,2,1
"",,,
※速報値として公開するものであり、後日確定データとして修正される場合があります。,,,
※陽性数は判明日の件数であるため、公表時の数値と異なる場合があります。,,,
※退院確認検査数は計上していません。,,,
※自費検査（行政検査以外の検査）は含みません。,,,
※2020年3月22日以前の検査実施数は94件です（すべて陰性）。,,,
