全国地方公共団体コード,都道府県名,市区町村名,受付_年月日,相談件数.対応.
20001,青森県,,2020年11月16日,31
20001,青森県,,2020年11月15日,30
20001,青森県,,2020年11月14日,18
20001,青森県,,2020年11月13日,22
20001,青森県,,2020年11月12日,18
20001,青森県,,2020年11月11日,24
20001,青森県,,2020年11月10日,25
20001,青森県,,2020年11月9日,30
20001,青森県,,2020年11月8日,37
20001,青森県,,2020年11月7日,45
20001,青森県,,2020年11月6日,35
20001,青森県,,2020年11月5日,31
20001,青森県,,2020年11月4日,40
20001,青森県,,2020年11月3日,26
20001,青森県,,2020年11月2日,51
20001,青森県,,2020年11月1日,44
20001,青森県,,2020年10月31日,39
20001,青森県,,2020年10月30日,39
20001,青森県,,2020年10月29日,43
20001,青森県,,2020年10月28日,41
20001,青森県,,2020年10月27日,35
20001,青森県,,2020年10月26日,39
20001,青森県,,2020年10月25日,41
20001,青森県,,2020年10月24日,53
20001,青森県,,2020年10月23日,30
20001,青森県,,2020年10月22日,50
20001,青森県,,2020年10月21日,62
20001,青森県,,2020年10月20日,55
20001,青森県,,2020年10月19日,73
20001,青森県,,2020年10月18日,75
20001,青森県,,2020年10月17日,88
20001,青森県,,2020年10月16日,57
20001,青森県,,2020年10月15日,31
20001,青森県,,2020年10月14日,26
20001,青森県,,2020年10月13日,31
20001,青森県,,2020年10月12日,53
20001,青森県,,2020年10月11日,12
20001,青森県,,2020年10月10日,13
20001,青森県,,2020年10月9日,6
20001,青森県,,2020年10月8日,12
20001,青森県,,2020年10月7日,11
20001,青森県,,2020年10月6日,7
20001,青森県,,2020年10月5日,13
20001,青森県,,2020年10月4日,11
20001,青森県,,2020年10月3日,19
20001,青森県,,2020年10月2日,12
20001,青森県,,2020年10月1日,13
20001,青森県,,2020年9月30日,12
20001,青森県,,2020年9月29日,9
20001,青森県,,2020年9月28日,11
20001,青森県,,2020年9月27日,12
20001,青森県,,2020年9月26日,17
20001,青森県,,2020年9月25日,5
20001,青森県,,2020年9月24日,9
20001,青森県,,2020年9月23日,10
20001,青森県,,2020年9月22日,13
20001,青森県,,2020年9月21日,14
20001,青森県,,2020年9月20日,15
20001,青森県,,2020年9月19日,13
20001,青森県,,2020年9月18日,10
20001,青森県,,2020年9月17日,9
20001,青森県,,2020年9月16日,8
20001,青森県,,2020年9月15日,7
20001,青森県,,2020年9月14日,15
20001,青森県,,2020年9月13日,12
20001,青森県,,2020年9月12日,10
20001,青森県,,2020年9月11日,9
20001,青森県,,2020年9月10日,13
20001,青森県,,2020年9月9日,6
20001,青森県,,2020年9月8日,7
20001,青森県,,2020年9月7日,10
20001,青森県,,2020年9月6日,10
20001,青森県,,2020年9月5日,10
20001,青森県,,2020年9月4日,16
20001,青森県,,2020年9月3日,5
20001,青森県,,2020年9月2日,19
20001,青森県,,2020年9月1日,9
20001,青森県,,2020年8月31日,17
20001,青森県,,2020年8月30日,15
20001,青森県,,2020年8月29日,19
20001,青森県,,2020年8月28日,17
20001,青森県,,2020年8月27日,11
20001,青森県,,2020年8月26日,17
20001,青森県,,2020年8月25日,18
20001,青森県,,2020年8月24日,16
20001,青森県,,2020年8月23日,20
20001,青森県,,2020年8月22日,19
20001,青森県,,2020年8月21日,20
20001,青森県,,2020年8月20日,17
20001,青森県,,2020年8月19日,19
20001,青森県,,2020年8月18日,11
20001,青森県,,2020年8月17日,24
