県名,市名,地域名,緯度経度,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日,4月9日,4月10日,4月11日,4月12日,4月13日,4月14日,4月15日,4月16日,4月17日,4月18日,4月19日,4月20日,4月21日,4月22日,4月23日,4月24日,4月25日,4月26日,4月27日,4月28日,4月29日,4月30日,5月1日,5月2日,5月3日,5月4日,5月5日,5月6日,5月7日,5月8日,5月9日
北海道,岩見沢市,北海道岩見沢市,"43.1962,141.7759",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
北海道,空知管内,北海道空知管内,"43.2796,141.6228",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,5,6,6,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9
北海道,小樽市,北海道小樽市,"43.1907,140.9947",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,7,11,11,12,12,12,13,13,14,14,14,14,14,17,17,18
北海道,倶知安町,北海道倶知安町,"42.9018,140.7587",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道,室蘭市,北海道室蘭市,"42.3152,140.9738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道,美唄市,北海道美唄市,"43.3329,141.8538",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道,後志管内,北海道後志管内,"42.7567,140.3943",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,6,6,6
北海道,留萌市,北海道留萌市,"43.9410,141.6370",0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
北海道,遠軽町,北海道遠軽町,"44.062,143.5279",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道,上富良野町,北海道上富良野町,"43.4557,142.4671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
北海道,富良野市,北海道富良野市,"43.3421,142.3832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
北海道,月形町,北海道月形町,"43.3384,141.6695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道,根室管内,北海道根室管内,"43.3304,145.5844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道,宗谷管内,北海道宗谷管内,"45.3976,141.7009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
北海道,石狩市,北海道石狩市,"43.1714,141.3155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
北海道,登別市,北海道登別市,"42.4128,141.1066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6
北海道,恵庭市,北海道恵庭市,"42.8826,141.5778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6
北海道,利尻富士町,北海道利尻富士町,"45.2477,141.2143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
北海道,留萌管内,北海道留萌管内,"43.9346,141.6560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
青森県,八戸市,青森県八戸市,"40.5123,141.4884",6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
青森県,五所川原管内,青森県五所川原管内,"40.8149,140.4403",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
青森県,青森市,青森県青森市,"40.8221,140.7474",0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
青森県,上十三管内,青森県上十三管内,"40.6138,141.2083",0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,9,9,9
青森県,十和田市,青森県十和田市,"40.6127,141.2059",0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
宮城県,仙台市,宮城県仙台市,"38.2691,140.8704",5,9,10,15,17,19,22,25,26,27,29,34,40,42,50,51,61,61,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64
宮城県,七ヶ浜町,宮城県七ヶ浜町,"38.3046,141.0592",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
宮城県,大崎市,宮城県大崎市,"38.5771,140.9554",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
宮城県,塩釜管内,宮城県塩釜管内,"38.3241,141.0288",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
宮城県,気仙沼管内,宮城県気仙沼管内,"38.9033,141.5543",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
宮城県,富谷町,宮城県富谷町,"38.3998,140.8954",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
宮城県,名取市,宮城県名取市,"38.1715,140.8919",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
宮城県,美里町,宮城県美里町,"38.5444,141.0567",0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
宮城県,多賀城市,宮城県多賀城市,"38.2938,141.0042",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
宮城県,加美町,宮城県加美町,"38.5718,140.8548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
宮城県,山元町,宮城県山元町,"37.9617,140.8778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
秋田県,秋田市,秋田県秋田市,"39.72,140.1026",2,3,3,3,3,3,3,3,3,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
秋田県,由利本荘市,秋田県由利本荘市,"39.3859,140.0488",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
秋田県,横手市,秋田県横手市,"39.3138,140.5666",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
秋田県,大館市,秋田県大館市,"40.2714,140.5643",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
秋田県,由利本荘管内,秋田県由利本荘管内,"39.3852,140.0343",0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
秋田県,大仙管内,秋田県大仙管内,"39.4509,140.4786",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
秋田県,湯沢市,秋田県湯沢市,"39.1643,140.4957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
山形県,上山市,山形県上山市,"38.1496,140.2678",0,1,1,1,1,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
山形県,新庄市,山形県新庄市,"38.765,140.3016",0,0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
山形県,大蔵村,山形県大蔵村,"38.7042,140.2304",0,0,0,0,0,1,1,1,1,1,1,1,2,3,6,6,8,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13
山形県,米沢市,山形県米沢市,"37.9222,140.1168",0,0,0,0,0,1,1,1,1,1,3,4,5,5,5,10,12,12,12,13,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15
山形県,鶴岡市,山形県鶴岡市,"38.7272,139.8267",0,0,0,0,0,1,2,2,4,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
山形県,南陽市,山形県南陽市,"38.0551,140.1484",0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
山形県,高畠町,山形県高畠町,"38.0027,140.1892",0,0,0,0,0,0,2,2,2,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
山形県,飯豊町,山形県飯豊町,"38.0458,139.9875",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
山形県,酒田市,山形県酒田市,"38.9144,139.8365",0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
山形県,山形市,山形県山形市,"38.2554,140.3396",0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7
山形県,中山町,山形県中山町,"38.3331,140.283",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
福島県,いわき市,福島県いわき市,"37.0504,140.8877",1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,6,7,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,14,14,14,14,14,14,14
福島県,郡山市,福島県郡山市,"37.4005,140.3597",1,1,1,1,2,2,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
福島県,福島市,福島県福島市,"37.7608,140.4747",1,2,2,2,2,2,2,6,8,8,8,9,10,10,10,10,10,10,11,12,12,12,13,13,14,14,14,14,15,17,18,18,18,18,18,18,18,18,18,18
福島県,南相馬市,福島県南相馬市,"37.6422,140.9573",0,1,2,3,6,6,6,6,7,7,7,7,7,7,7,7,8,9,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
