県名,市名,地域名,緯度経度,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日,4月9日,4月10日,4月11日,4月12日,4月13日,4月14日,4月15日,4月16日,4月17日,4月18日,4月19日,4月20日,4月21日,4月22日,4月23日,4月24日,4月25日,4月26日,4月27日,4月28日,4月29日,4月30日,5月1日,5月2日,5月3日,5月4日,5月5日,5月6日,5月7日,5月8日,5月9日
茨城県,美浦村,茨城県美浦村,"36.0046,140.3019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
栃木県,県南管内,栃木県県南管内,"37.1308,140.2166",6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
栃木県,宇都宮市,栃木県宇都宮市,"36.5551,139.8828",2,4,4,4,4,4,4,6,8,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14
栃木県,安足管内,栃木県安足管内,"36.3394,139.4740",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
栃木県,県西管内,栃木県県西管内,"36.5664,139.7424",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
栃木県,栃木市,栃木県栃木市,"36.3824,139.7341",0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,5,6,7,7,8,11,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14
栃木県,足利市,栃木県足利市,"36.3402,139.4497",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
栃木県,佐野市,栃木県佐野市,"36.3086,139.5931",0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
栃木県,下野市,栃木県下野市,"36.3872,139.842",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
栃木県,鹿沼市,栃木県鹿沼市,"36.5671,139.745",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
栃木県,那須塩原市,栃木県那須塩原市,"36.9617,140.0461",0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
栃木県,小山市,栃木県小山市,"36.3147,139.8001",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
栃木県,真岡市,栃木県真岡市,"36.4404,140.0134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
栃木県,大田原市,栃木県大田原市,"36.8715,140.0174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
群馬県,太田市,群馬県太田市,"36.2911,139.3755",6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
群馬県,大泉町,群馬県大泉町,"36.2479,139.4049",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
群馬県,前橋市,群馬県前橋市,"36.3895,139.0634",2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
群馬県,高崎市,群馬県高崎市,"36.3219,139.0033",1,1,1,2,2,2,2,2,2,2,4,4,7,7,7,8,9,9,9,10,10,11,11,12,13,13,14,18,18,18,18,18,18,18,18,18,18,18,18,18
群馬県,館林市,群馬県館林市,"36.2448,139.542",1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
群馬県,富岡市,群馬県富岡市,"36.2599,138.8899",2,2,3,4,4,4,4,4,4,4,6,7,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
群馬県,玉村町,群馬県玉村町,"36.3044,139.1149",1,1,1,2,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
群馬県,甘楽町,群馬県甘楽町,"36.243,138.9217",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
群馬県,安中市,群馬県安中市,"36.3264,138.8873",0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
群馬県,伊勢崎市,群馬県伊勢崎市,"36.3114,139.1968",0,0,0,0,0,0,0,0,0,2,9,32,35,35,36,44,47,48,49,49,50,54,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
群馬県,藤岡市,群馬県藤岡市,"36.2585,139.0744",0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
群馬県,桐生市,群馬県桐生市,"36.4055,139.3307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
群馬県,富岡管内,群馬県富岡管内,"36.2490,138.8620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
群馬県,沼田町,群馬県沼田町,"43.8068,141.9333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
群馬県,渋川市,群馬県渋川市,"36.4895,139.0004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
群馬県,片品村,群馬県片品村,"36.7725,139.2252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
群馬県,利根沼田管内,群馬県利根沼田管内,"36.6384,139.0376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
群馬県,渋川管内,群馬県渋川管内,"36.5118,139.0059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
埼玉県,行田市,埼玉県行田市,"36.1389,139.4556",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
埼玉県,上尾市,埼玉県上尾市,"35.9774,139.5932",1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,8,8,8,8,10,10,10,10,10,10,10,10,10,10
埼玉県,富士見市,埼玉県富士見市,"35.8568,139.5491",1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,6,6,7,7,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10
埼玉県,さいたま市,埼玉県さいたま市,"35.8841,139.6261",10,10,15,21,25,27,28,33,34,40,46,58,60,62,66,78,87,90,91,97,99,102,110,112,117,119,122,123,125,129,133,133,139,142,142,147,147,148,154,161
埼玉県,入間市,埼玉県入間市,"35.8358,139.3911",3,3,3,3,4,4,4,4,6,8,9,11,12,12,12,15,17,17,21,22,22,22,26,27,27,28,30,30,30,30,30,31,31,31,31,31,32,32,32,32
埼玉県,川越市,埼玉県川越市,"35.9251,139.4858",4,4,4,5,5,7,7,12,14,14,15,15,18,18,19,21,22,23,27,27,28,28,30,33,35,39,39,40,40,41,42,42,43,43,43,43,43,43,44,44
埼玉県,戸田市,埼玉県戸田市,"35.8176,139.6779",6,6,6,6,6,6,6,6,9,10,10,11,12,12,14,15,16,16,18,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
埼玉県,越谷市,埼玉県越谷市,"35.8911,139.7909",8,8,9,9,9,12,12,14,14,18,19,20,21,21,23,24,29,30,30,30,30,30,32,33,33,33,33,33,33,34,34,34,35,35,35,35,35,35,35,36
埼玉県,川口市,埼玉県川口市,"35.8077,139.7242",17,18,20,20,23,25,27,28,34,36,38,42,47,50,52,57,62,63,70,74,75,78,83,87,87,88,89,89,90,92,92,92,95,97,98,98,101,103,104,104
埼玉県,草加市,埼玉県草加市,"35.8254,139.8054",1,1,1,1,3,5,5,6,7,9,11,11,12,12,13,17,21,21,21,21,24,24,25,26,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28
埼玉県,新座市,埼玉県新座市,"35.7935,139.5654",1,1,1,1,2,3,3,3,3,4,4,4,4,4,5,9,9,9,10,12,12,12,13,14,15,15,16,17,18,18,18,18,18,21,21,21,21,24,25,26
埼玉県,深谷市,埼玉県深谷市,"36.1974,139.2815",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
埼玉県,志木市,埼玉県志木市,"35.8368,139.5803",3,3,3,3,3,3,3,3,4,4,8,8,9,9,10,11,12,13,13,13,13,13,13,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16
埼玉県,熊谷市,埼玉県熊谷市,"36.1473,139.3886",1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,7,9,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
埼玉県,桶川市,埼玉県桶川市,"36.0058,139.5425",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,狭山市,埼玉県狭山市,"35.8529,139.4122",3,3,3,3,3,3,3,3,6,6,6,9,12,13,13,14,15,17,18,18,18,18,22,22,22,22,23,24,24,24,25,25,25,26,26,26,26,26,26,26
埼玉県,春日部市,埼玉県春日部市,"35.9752,139.7523",9,9,9,10,11,14,17,17,17,18,18,18,20,20,20,21,23,23,23,24,24,24,24,24,25,26,27,27,27,27,27,27,28,28,30,30,30,30,30,30
埼玉県,蓮田市,埼玉県蓮田市,"35.9943,139.6621",1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
埼玉県,所沢市,埼玉県所沢市,"35.7997,139.4686",4,4,7,7,12,13,18,18,24,32,42,45,57,64,66,75,84,90,99,109,110,111,118,125,127,130,135,135,135,136,136,137,137,138,138,138,140,140,141,141
埼玉県,坂戸市,埼玉県坂戸市,"35.9572,139.4029",1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
埼玉県,白岡市,埼玉県白岡市,"36.019,139.6769",1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6
埼玉県,和光市,埼玉県和光市,"35.7812,139.6058",3,3,3,3,3,4,5,5,6,8,8,8,9,9,9,10,10,13,15,17,17,17,17,18,18,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21
埼玉県,ときがわ町,埼玉県ときがわ町,"36.0086,139.2968",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
埼玉県,ふじみ野市,埼玉県ふじみ野市,"35.8795,139.5198",2,3,3,4,5,6,6,6,6,6,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,14,14,14,14,14,14,14
埼玉県,八潮市,埼玉県八潮市,"35.8225,139.8392",1,2,2,5,5,7,7,7,7,9,9,9,10,10,10,10,10,10,10,10,11,11,12,12,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16
埼玉県,朝霞市,埼玉県朝霞市,"35.7973,139.5939",2,2,2,2,2,2,2,2,3,3,3,4,5,5,6,6,7,7,7,8,8,9,9,10,10,12,12,13,13,13,13,13,13,13,14,14,15,16,16,16
埼玉県,三芳町,埼玉県三芳町,"35.8284,139.5264",1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
埼玉県,鴻巣市,埼玉県鴻巣市,"36.0658,139.5222",1,1,3,3,3,3,4,4,5,5,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11
埼玉県,三郷市,埼玉県三郷市,"35.8301,139.8723",1,1,1,3,3,3,3,3,4,4,5,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
埼玉県,東松山市,埼玉県東松山市,"36.0421,139.4",0,0,1,1,1,1,1,3,3,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,7,7,7,8,8,9,9,10,10,10,10,10,10,10,10,10
埼玉県,鶴ヶ島市,埼玉県鶴ヶ島市,"35.9345,139.3931",0,0,0,1,1,1,1,1,1,2,5,5,5,5,5,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
埼玉県,神川町,埼玉県神川町,"36.2139,139.1018",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
埼玉県,上里町,埼玉県上里町,"36.2516,139.1448",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,秩父市,埼玉県秩父市,"35.9921,139.0848",0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,飯能市,埼玉県飯能市,"35.8557,139.3277",0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,14
埼玉県,毛呂山町,埼玉県毛呂山町,"35.9415,139.3161",0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
埼玉県,羽生市,埼玉県羽生市,"36.1726,139.5485",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,伊奈町,埼玉県伊奈町,"36.0001,139.6242",0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
埼玉県,吉見町,埼玉県吉見町,"36.0399,139.4537",0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,加須市,埼玉県加須市,"36.1314,139.6017",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
埼玉県,幸手市,埼玉県幸手市,"36.0781,139.7259",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,杉戸町,埼玉県杉戸町,"36.0258,139.7367",0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,久喜市,埼玉県久喜市,"36.062,139.6668",0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
埼玉県,吉川市,埼玉県吉川市,"35.8912,139.8414",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,蕨市,埼玉県蕨市,"35.8256,139.6797",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,5,6,6,7,7,8,8,8,8,8,8,8,8
埼玉県,宮代町,埼玉県宮代町,"36.0227,139.7229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
埼玉県,日高市,埼玉県日高市,"35.9078,139.339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
埼玉県,本庄市,埼玉県本庄市,"36.2436,139.1904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
埼玉県,川島町,埼玉県川島町,"35.982,139.4815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4
埼玉県,美里町,埼玉県美里町,"38.5444,141.0567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
埼玉県,小川町,埼玉県小川町,"36.0567,139.2618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
埼玉県,寄居町,埼玉県寄居町,"36.1183,139.193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
埼玉県,越生町,埼玉県越生町,"35.9645,139.2942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
千葉県,千葉市,千葉県千葉市,"35.6089,140.1246",3,5,5,8,10,13,15,15,24,27,31,38,39,41,43,51,55,56,62,62,65,68,72,79,83,86,90,93,93,93,93,93,93,95,95,95,96,96,96,96
千葉県,市川市,千葉県市川市,"35.7219,139.931",18,21,21,22,24,26,28,28,35,38,39,46,46,46,47,51,54,59,61,63,65,67,68,74,74,75,75,75,77,79,80,82,83,83,84,84,85,86,86,86
千葉県,柏市,千葉県柏市,"35.8676,139.9759",2,5,5,7,10,10,10,10,10,15,15,18,19,19,19,24,25,28,30,30,30,31,32,32,32,33,33,33,34,34,35,35,35,36,36,36,36,36,36,36
千葉県,松戸市,千葉県松戸市,"35.7876,139.9031",12,14,14,16,17,23,23,25,25,31,39,42,54,56,61,64,70,70,78,78,80,84,89,89,94,94,95,95,96,97,98,98,99,100,100,101,102,102,103,103
千葉県,いすみ市,千葉県いすみ市,"35.2539,140.3851",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
千葉県,四街道市,千葉県四街道市,"35.6698,140.1679",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
千葉県,船橋市,千葉県船橋市,"35.6947,139.9826",6,6,6,10,24,24,29,31,31,38,42,47,52,60,61,63,71,75,81,84,91,93,96,100,103,106,107,110,110,112,115,115,116,116,118,118,118,119,121,122
千葉県,匝瑳市,千葉県匝瑳市,"35.7079,140.5643",3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
千葉県,印西市,千葉県印西市,"35.8323,140.1458",1,1,2,2,2,2,2,2,5,5,7,9,13,14,16,16,22,22,22,24,26,26,26,26,27,28,28,28,30,30,30,30,31,31,31,31,31,31,31,31
千葉県,浦安市,千葉県浦安市,"35.654,139.9022",2,3,3,4,4,7,8,8,8,8,8,11,11,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
千葉県,木更津市,千葉県木更津市,"35.3812,139.9249",2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,7,8,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
千葉県,我孫子市,千葉県我孫子市,"35.8641,140.0282",1,1,1,1,1,1,1,1,1,2,4,4,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10
千葉県,成田市,千葉県成田市,"35.7766,140.3188",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
千葉県,流山市,千葉県流山市,"35.8563,139.9027",2,2,3,3,3,3,3,3,3,3,3,4,6,6,6,6,6,6,6,8,8,8,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11
千葉県,習志野市,千葉県習志野市,"35.683,140.0244",2,2,2,2,2,2,2,2,4,5,7,8,8,9,9,10,10,10,10,11,11,12,12,14,14,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16
千葉県,香取市,千葉県香取市,"35.8977,140.4993",1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
千葉県,山武市,千葉県山武市,"35.603,140.4135",2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
千葉県,佐倉市,千葉県佐倉市,"35.7235,140.224",2,2,3,3,5,5,5,5,5,7,7,9,10,10,11,15,15,16,18,21,22,24,25,26,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28
千葉県,東庄町,千葉県東庄町,"35.8372,140.6686",50,75,99,99,104,105,107,109,111,116,116,116,116,116,116,116,116,116,117,117,117,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
千葉県,八街市,千葉県八街市,"35.6659,140.318",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
千葉県,茂原市,千葉県茂原市,"35.4285,140.288",1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
千葉県,印旛郡,千葉県印旛郡,"35.7828,140.2567",0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
千葉県,長生郡,千葉県長生郡,"35.4030,140.3678",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
千葉県,南房総市,千葉県南房総市,"35.043,139.8401",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
千葉県,白井市,千葉県白井市,"35.7915,140.0564",0,0,0,0,2,2,4,4,5,5,5,5,5,6,6,7,7,9,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
千葉県,八千代市,千葉県八千代市,"35.7225,140.0998",0,0,0,0,1,1,1,2,2,4,7,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,13,14,14,14,15,15,15,15,15,15,15,15
千葉県,野田市,千葉県野田市,"35.9552,139.8748",0,0,0,0,1,1,1,1,1,1,1,2,6,6,6,9,9,10,10,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
千葉県,酒々井町,千葉県酒々井町,"35.7248,140.2695",0,0,0,0,0,1,1,1,1,1,2,2,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
千葉県,富里市,千葉県富里市,"35.7268,140.3431",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6
千葉県,市原市,千葉県市原市,"35.4978,140.1157",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,11,11,11,11
千葉県,旭市,千葉県旭市,"35.7204,140.6465",0,0,0,0,0,0,1,2,2,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
千葉県,東金市,千葉県東金市,"35.5599,140.3661",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
千葉県,銚子市,千葉県銚子市,"35.7347,140.8266",0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
千葉県,鎌ケ谷市,千葉県鎌ケ谷市,"35.7768,140.0008",0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,6,6,6,6,7,8,9,10,10,10,10,10,10,11,12,12,12,12,12,13,14,14,14
千葉県,袖ケ浦市,千葉県袖ケ浦市,"35.4298,139.9544",0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
千葉県,横芝光町,千葉県横芝光町,"35.6656,140.5043",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
千葉県,東葛北部,千葉県東葛北部,"35.9534,139.8676",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
千葉県,一宮市,千葉県一宮市,"35.3039,136.8029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
千葉県,芝山町,千葉県芝山町,"35.6931,140.4142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
