date,ja,en,count,regions,lat,lng
2020-04-03,三重,Mie Prefecture,13,4,34.51361111,136.3813889
2020-04-04,三重,Mie Prefecture,13,4,34.51361111,136.3813889
2020-04-05,三重,Mie Prefecture,13,4,34.51361111,136.3813889
2020-04-06,三重,Mie Prefecture,13,4,34.51361111,136.3813889
2020-04-07,三重,Mie Prefecture,13,4,34.51361111,136.3813889
2020-04-08,三重,Mie Prefecture,13,4,34.51361111,136.3813889
2020-04-09,三重,Mie Prefecture,15,4,34.51361111,136.3813889
2020-04-10,三重,Mie Prefecture,15,4,34.51361111,136.3813889
2020-04-11,三重,Mie Prefecture,17,4,34.51361111,136.3813889
2020-04-12,三重,Mie Prefecture,17,4,34.51361111,136.3813889
2020-04-13,三重,Mie Prefecture,17,4,34.51361111,136.3813889
2020-04-14,三重,Mie Prefecture,19,4,34.51361111,136.3813889
2020-04-15,三重,Mie Prefecture,20,4,34.51361111,136.3813889
2020-04-16,三重,Mie Prefecture,25,4,34.51361111,136.3813889
2020-04-17,三重,Mie Prefecture,31,4,34.51361111,136.3813889
2020-04-18,三重,Mie Prefecture,34,4,34.51361111,136.3813889
2020-04-19,三重,Mie Prefecture,35,4,34.51361111,136.3813889
2020-01-15,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-16,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-17,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-18,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-19,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-20,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-21,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-22,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-23,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-24,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-25,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-26,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-27,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-28,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-29,京都,Kyoto Prefecture,0,4,35.25194444,135.4458333
2020-01-30,京都,Kyoto Prefecture,1,4,35.25194444,135.4458333
2020-01-31,京都,Kyoto Prefecture,1,4,35.25194444,135.4458333
2020-02-01,京都,Kyoto Prefecture,1,4,35.25194444,135.4458333
2020-02-02,京都,Kyoto Prefecture,1,4,35.25194444,135.4458333
2020-02-03,京都,Kyoto Prefecture,1,4,35.25194444,135.4458333
2020-02-04,京都,Kyoto Prefecture,1,4,35.25194444,135.4458333
2020-02-05,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-06,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
