date,tests,confirmed,deaths,recovered,hosp,vent,icu,severe,population,administrative_area_level,administrative_area_level_1,administrative_area_level_2,jis_code
2020-05-05,186343,15231,369,2784,12080,,,309,126216142,1,Japan,,
2020-05-06,188927,15354,384,3094,11876,,,308,126216142,1,Japan,,
2020-05-07,190030,15463,390,3289,11785,,,300,126216142,1,Japan,,
2020-05-08,202013,15547,403,3710,11434,,,287,126216142,1,Japan,,
2020-05-09,211997,15888,624,8127,6451,,,266,126216142,1,Japan,,
2020-05-10,214256,15957,633,8293,6399,,,267,126216142,1,Japan,,
2020-05-11,218204,16002,657,8531,6225,,,249,126216142,1,Japan,,
2020-05-12,223649,16082,678,8920,6065,,,243,126216142,1,Japan,,
2020-05-13,223667,16137,696,9868,5315,,,259,126216142,1,Japan,,
2020-05-14,233144,16237,713,10338,4886,,,245,126216142,1,Japan,,
2020-05-15,230882,16288,729,10809,4493,,,237,126216142,1,Japan,,
2020-05-16,240368,16344,748,11153,4179,,,232,126216142,1,Japan,,
2020-05-17,244452,16370,756,11415,3943,,,230,126216142,1,Japan,,
2020-05-18,250151,16401,768,11564,3823,,,228,126216142,1,Japan,,
2020-05-19,255675,16428,773,11883,3556,,,213,126216142,1,Japan,,
2020-05-20,258277,16466,784,12285,3165,,,210,126216142,1,Japan,,
2020-05-21,261572,16504,799,12670,2917,,,195,126216142,1,Japan,,
2020-05-22,265502,16529,814,13003,2652,,,176,126216142,1,Japan,,
2020-05-23,268477,16555,825,13242,2450,,,174,126216142,1,Japan,,
2020-05-24,271201,16597,840,13411,2287,,,168,126216142,1,Japan,,
2020-05-25,272688,16618,852,13609,2121,,,165,126216142,1,Japan,,
2020-05-26,276170,16647,863,13807,1950,,,155,126216142,1,Japan,,
2020-05-27,278642,16682,870,13969,1803,,,147,126216142,1,Japan,,
2020-05-28,281293,16745,884,14143,1654,,,136,126216142,1,Japan,,
2020-05-29,284763,16819,890,14250,1574,,,131,126216142,1,Japan,,
2020-05-30,287754,16863,895,14402,1494,,,123,126216142,1,Japan,,
2020-05-31,290436,16898,898,14455,1484,,,119,126216142,1,Japan,,
2020-06-01,292569,16935,900,14498,1472,,,115,126216142,1,Japan,,
2020-06-02,296383,16986,903,14646,1378,,,113,126216142,1,Japan,,
2020-06-03,300277,17016,907,14766,1308,,,101,126216142,1,Japan,,
2020-06-04,303633,17063,913,14862,1241,,,102,126216142,1,Japan,,
2020-06-05,307462,17107,917,14967,1178,,,98,126216142,1,Japan,,
2020-06-06,311447,17153,919,15074,1103,,,99,126216142,1,Japan,,
2020-06-07,314483,17191,919,15132,1082,,,98,126216142,1,Japan,,
2020-06-08,316848,17212,922,15141,1106,,,99,126216142,1,Japan,,
2020-06-09,321053,17257,923,15208,1074,,,92,126216142,1,Japan,,
2020-06-10,324675,17295,925,15294,1026,,,91,126216142,1,Japan,,
2020-06-11,328730,17337,925,15379,981,,,88,126216142,1,Japan,,
2020-06-12,332207,17398,929,15489,911,,,82,126216142,1,Japan,,
2020-06-13,336161,17443,931,15576,872,,,76,126216142,1,Japan,,
2020-06-14,338758,17518,931,15639,859,,,73,126216142,1,Japan,,
2020-06-15,339735,17590,933,15682,877,,,71,126216142,1,Japan,,
2020-06-16,344526,17634,938,15697,954,,,80,126216142,1,Japan,,
2020-06-17,348051,17680,939,15846,845,,,70,126216142,1,Japan,,
2020-06-18,396433,17750,941,15926,800,,,62,126216142,1,Japan,,
2020-06-19,403380,17808,958,16004,794,,,62,126216142,1,Japan,,
2020-06-20,409022,17872,958,16073,767,,,61,126216142,1,Japan,,
2020-06-21,412669,17927,959,16104,801,,,59,126216142,1,Japan,,
2020-06-22,417951,17970,960,16129,829,,,59,126216142,1,Japan,,
2020-06-23,424767,18027,964,16208,798,,,62,126216142,1,Japan,,
2020-06-24,429481,18123,968,16259,794,,,60,126216142,1,Japan,,
2020-06-25,435495,18205,970,16316,816,,,58,126216142,1,Japan,,
2020-06-26,440739,18310,970,16388,833,,,51,126216142,1,Japan,,
2020-06-27,446589,18402,971,16448,869,,,48,126216142,1,Japan,,
2020-06-28,451772,18515,971,16501,906,,,45,126216142,1,Japan,,
2020-06-29,454609,18625,971,16553,939,,,43,126216142,1,Japan,,
2020-06-30,461446,18763,973,16627,984,,,42,126216142,1,Japan,,
2020-07-01,467444,18890,975,16726,1016,,,40,126216142,1,Japan,,
2020-07-02,475308,19084,976,16767,1125,,,37,126216142,1,Japan,,
2020-07-03,481877,19335,976,16862,1223,,,33,126216142,1,Japan,,
2020-07-04,490287,19608,976,16955,1344,,,32,126216142,1,Japan,,
2020-07-05,495164,19816,976,17025,1514,,,33,126216142,1,Japan,,
2020-07-06,499898,19992,977,17100,1692,,,34,126216142,1,Japan,,
2020-07-07,509993,20200,979,17190,1806,,,36,126216142,1,Japan,,
2020-07-08,518210,20407,981,17325,1862,,,35,126216142,1,Japan,,
2020-07-09,527546,20762,981,17461,1920,,,38,126216142,1,Japan,,
2020-07-10,540411,21194,981,17647,2078,,,31,126216142,1,Japan,,
2020-07-11,551664,21578,982,17840,2298,,,33,126216142,1,Japan,,
2020-07-12,558622,21985,982,18000,2511,,,32,126216142,1,Japan,,
2020-07-13,560460,22244,983,18100,2759,,,34,126216142,1,Japan,,
2020-07-14,574432,22577,983,18276,2953,,,40,126216142,1,Japan,,
2020-07-15,586706,23029,984,18538,2978,,,38,126216142,1,Japan,,
2020-07-16,599239,23651,984,18809,3088,,,37,126216142,1,Japan,,
2020-07-17,617049,24248,984,19091,3383,,,39,126216142,1,Japan,,
2020-07-18,626149,24910,985,19361,3772,,,41,126216142,1,Japan,,
2020-07-19,634997,25420,985,19565,4089,,,43,126216142,1,Japan,,
2020-07-20,639821,25839,987,19751,4348,,,47,126216142,1,Japan,,
2020-07-21,655780,26471,988,20149,4580,,,52,126216142,1,Japan,,
2020-07-22,670619,27266,989,20645,4666,,,55,126216142,1,Japan,,
2020-07-23,688036,28247,991,21029,5000,,,59,126216142,1,Japan,,
2020-07-24,697512,29019,994,21321,5635,,,68,126216142,1,Japan,,
2020-07-25,704400,29826,997,21560,6220,,,64,126216142,1,Japan,,
2020-07-26,715283,30665,997,21757,6597,,,66,126216142,1,Japan,,
2020-07-27,720501,31265,998,22111,6861,,,67,126216142,1,Japan,,
2020-07-28,746229,32250,1001,22806,7131,,,76,126216142,1,Japan,,
2020-07-29,765346,33520,1005,23501,7379,,,81,126216142,1,Japan,,
2020-07-30,785224,34828,1006,24174,7846,,,90,126216142,1,Japan,,
2020-07-31,806067,36415,1012,24923,8408,,,87,126216142,1,Japan,,
2020-08-01,824748,37948,1012,25497,9294,,,80,126216142,1,Japan,,
2020-08-02,836404,39279,1012,25900,9751,,,83,126216142,1,Japan,,
2020-08-03,849115,40244,1017,26482,10770,,,87,126216142,1,Japan,,
2020-08-04,877134,41490,1022,27192,11334,,,88,126216142,1,Japan,,
2020-08-05,897340,42845,1029,28020,12038,,,104,126216142,1,Japan,,
2020-08-06,938739,44330,1035,28872,12293,,,115,126216142,1,Japan,,
2020-08-07,961915,45935,1042,30146,12551,,,131,126216142,1,Japan,,
2020-08-08,986101,47506,1043,31300,12938,,,140,126216142,1,Japan,,
2020-08-09,999777,48947,1048,32307,13262,,,156,126216142,1,Japan,,
2020-08-10,1016197,49784,1053,33046,13671,,,161,126216142,1,Japan,,
2020-08-11,1024235,50481,1060,33956,13697,,,171,126216142,1,Japan,,
