日付,都道府県略称,陽性者数,検査人数
20200329,奈良,11,263
20200329,和歌山,17,1431
20200329,鳥取,0,146
20200329,島根,0,121
20200329,岡山,3,251
20200329,広島,4,812
20200329,山口,6,270
20200329,徳島,1,110
20200329,香川,1,197
20200329,愛媛,4,234
20200329,高知,13,342
20200329,福岡,21,844
20200329,佐賀,1,129
20200329,長崎,2,292
20200329,熊本,10,674
20200329,大分,27,1489
20200329,宮崎,3,241
20200329,鹿児島,1,219
20200329,沖縄,6,303
20200330,北海道,176,1976
20200330,青森,7,132
20200330,岩手,0,50
20200330,宮城,2,188
20200330,秋田,4,211
20200330,山形,0,170
20200330,福島,2,182
20200330,茨城,16,770
20200330,栃木,12,377
20200330,群馬,18,243
20200330,埼玉,83,1105
20200330,千葉,160,237
20200330,東京,436,2269
20200330,神奈川,107,276
20200330,新潟,31,977
20200330,富山,0,72
20200330,石川,9,212
20200330,福井,13,154
20200330,山梨,4,428
20200330,長野,8,397
20200330,岐阜,21,428
20200330,静岡,4,665
20200330,愛知,167,2276
20200330,三重,9,408
20200330,滋賀,6,197
20200330,京都,46,1035
20200330,大阪,209,553
20200330,兵庫,132,2146
20200330,奈良,11,263
20200330,和歌山,17,1433
20200330,鳥取,0,146
20200330,島根,0,128
20200330,岡山,3,251
20200330,広島,6,831
20200330,山口,6,291
20200330,徳島,1,110
20200330,香川,1,212
20200330,愛媛,4,234
20200330,高知,14,353
20200330,福岡,22,853
20200330,佐賀,1,130
20200330,長崎,2,292
20200330,熊本,10,693
20200330,大分,28,1489
20200330,宮崎,3,242
20200330,鹿児島,1,219
20200330,沖縄,8,303
20200331,北海道,177,2076
20200331,青森,7,132
20200331,岩手,0,54
20200331,宮城,6,208
20200331,秋田,4,240
20200331,山形,0,198
20200331,福島,2,203
20200331,茨城,20,921
20200331,栃木,12,439
20200331,群馬,18,253
20200331,埼玉,84,1249
20200331,千葉,160,362
20200331,東京,449,2986
20200331,神奈川,115,476
20200331,新潟,31,1024
20200331,富山,1,79
20200331,石川,11,211
20200331,福井,15,160
20200331,山梨,5,454
20200331,長野,8,475
20200331,岐阜,21,629
20200331,静岡,4,701
20200331,愛知,170,2460
20200331,三重,11,437
20200331,滋賀,6,217
20200331,京都,54,1080
20200331,大阪,217,630
20200331,兵庫,136,2399
20200331,奈良,11,292
20200331,和歌山,17,1452
20200331,鳥取,0,169
20200331,島根,0,130
20200331,岡山,4,309
20200331,広島,6,901
20200331,山口,6,257
20200331,徳島,1,123
20200331,香川,1,243
20200331,愛媛,4,250
20200331,高知,15,359
20200331,福岡,23,1033
20200331,佐賀,1,137
20200331,長崎,2,331
20200331,熊本,11,856
20200331,大分,28,1626
20200331,宮崎,3,272
20200331,鹿児島,1,263
20200331,沖縄,9,332
20200401,北海道,177,2096
20200401,青森,8,137
20200401,岩手,0,59
20200401,宮城,7,208
20200401,秋田,6,261
20200401,山形,1,222
20200401,福島,4,204
20200401,茨城,24,1028
20200401,栃木,14,456
20200401,群馬,19,289
20200401,埼玉,98,1293
20200401,千葉,164,527
20200401,東京,527,3027
20200401,神奈川,120,614
20200401,新潟,31,1061
20200401,富山,3,90
20200401,石川,13,228
20200401,福井,16,179
20200401,山梨,6,472
20200401,長野,8,506
20200401,岐阜,23,717
20200401,静岡,6,745
20200401,愛知,176,2854
20200401,三重,11,458
20200401,滋賀,7,232
20200401,京都,68,1178
20200401,大阪,245,630
20200401,兵庫,147,2462
20200401,奈良,11,314
20200401,和歌山,17,1479
20200401,鳥取,0,182
20200401,島根,0,136
20200401,岡山,4,321
20200401,広島,6,960
20200401,山口,6,287
20200401,徳島,3,144
20200401,香川,2,243
20200401,愛媛,9,267
20200401,高知,17,389
20200401,福岡,43,1069
20200401,佐賀,2,150
20200401,長崎,2,351
20200401,熊本,14,925
20200401,大分,29,1647
20200401,宮崎,3,284
20200401,鹿児島,1,265
20200401,沖縄,9,356
20200402,北海道,182,2096
20200402,青森,8,137
20200402,岩手,0,59
20200402,宮城,7,208
20200402,秋田,6,261
20200402,山形,1,222
20200402,福島,6,204
20200402,茨城,24,1028
20200402,栃木,14,456
20200402,群馬,20,289
20200402,埼玉,101,1293
20200402,千葉,175,527
20200402,東京,593,3027
20200402,神奈川,138,614
20200402,新潟,31,1061
20200402,富山,5,90
20200402,石川,15,228
20200402,福井,22,179
20200402,山梨,8,472
20200402,長野,9,506
20200402,岐阜,22,717
20200402,静岡,6,745
20200402,愛知,181,2854
20200402,三重,11,458
20200402,滋賀,8,232
20200402,京都,71,1178
20200402,大阪,279,630
20200402,兵庫,161,2462
20200402,奈良,15,314
20200402,和歌山,18,1479
20200402,鳥取,0,182
20200402,島根,0,136
20200402,岡山,4,321
20200402,広島,6,960
20200402,山口,6,287
20200402,徳島,3,144
20200402,香川,2,243
20200402,愛媛,9,267
20200402,高知,20,389
20200402,福岡,52,1069
20200402,佐賀,4,150
20200402,長崎,5,351
20200402,熊本,15,925
20200402,大分,29,1647
20200402,宮崎,3,284
20200402,鹿児島,2,265
20200402,沖縄,9,356
20200403,北海道,185,2218
20200403,青森,9,160
20200403,岩手,0,73
20200403,宮城,12,244
20200403,秋田,7,321
20200403,山形,1,275
20200403,福島,8,238
20200403,茨城,26,1266
20200403,栃木,14,571
20200403,群馬,20,542
20200403,埼玉,113,1476
20200403,千葉,181,712
20200403,東京,690,3402
20200403,神奈川,153,954
20200403,新潟,31,1139
20200403,富山,8,137
20200403,石川,16,248
20200403,福井,31,233
20200403,山梨,9,579
20200403,長野,9,596
20200403,岐阜,22,806
20200403,静岡,6,957
20200403,愛知,186,3123
20200403,三重,12,507
20200403,滋賀,8,259
20200403,京都,79,1189
20200403,大阪,312,1149
20200403,兵庫,167,2610
20200403,奈良,19,355
20200403,和歌山,20,1531
20200403,鳥取,0,201
20200403,島根,0,152
20200403,岡山,7,365
20200403,広島,6,1023
20200403,山口,6,328
20200403,徳島,3,156
20200403,香川,2,304
20200403,愛媛,11,312
20200403,高知,21,417
20200403,福岡,62,1198
20200403,佐賀,4,153
20200403,長崎,5,429
20200403,熊本,15,1036
20200403,大分,30,1710
20200403,宮崎,3,326
20200403,鹿児島,3,308
20200403,沖縄,9,399
20200404,北海道,190,2296
20200404,青森,11,180
20200404,岩手,0,76
20200404,宮城,13,348
20200404,秋田,9,349
20200404,山形,1,369
20200404,福島,9,264
20200404,茨城,54,1383
20200404,栃木,14,657
20200404,群馬,24,860
20200404,埼玉,131,1547
20200404,千葉,192,788
20200404,東京,779,3806
20200404,神奈川,181,1099
20200404,新潟,32,1248
20200404,富山,8,198
20200404,石川,24,264
20200404,福井,40,272
20200404,山梨,9,625
20200404,長野,10,667
20200404,岐阜,39,827
20200404,静岡,8,1006
20200404,愛知,198,2917
20200404,三重,12,598
20200404,滋賀,14,293
20200404,京都,91,1398
20200404,大阪,347,1251
20200404,兵庫,172,2791
20200404,奈良,21,359
20200404,和歌山,21,1571
20200404,鳥取,0,227
20200404,島根,0,158
20200404,岡山,9,390
20200404,広島,8,1023
20200404,山口,7,354
20200404,徳島,3,164
20200404,香川,2,344
20200404,愛媛,11,350
20200404,高知,21,454
20200404,福岡,66,1584
20200404,佐賀,5,184
20200404,長崎,7,505
20200404,熊本,15,1095
20200404,大分,31,1739
20200404,宮崎,4,338
20200404,鹿児島,3,346
20200404,沖縄,9,430
20200405,北海道,193,2296
20200405,青森,11,188
20200405,岩手,0,76
20200405,宮城,20,348
20200405,秋田,10,349
20200405,山形,6,369
20200405,福島,14,264
20200405,茨城,59,1383
20200405,栃木,14,657
20200405,群馬,25,866
20200405,埼玉,153,1547
20200405,千葉,219,828
20200405,東京,897,3806
20200405,神奈川,197,1099
20200405,新潟,32,1248
20200405,富山,10,198
20200405,石川,32,264
20200405,福井,44,275
20200405,山梨,11,625
20200405,長野,11,669
20200405,岐阜,43,833
20200405,静岡,10,1006
20200405,愛知,216,2917
20200405,三重,12,598
20200405,滋賀,17,293
20200405,京都,105,1398
20200405,大阪,388,1292
20200405,兵庫,182,2805
20200405,奈良,24,364
20200405,和歌山,21,1579
20200405,鳥取,0,227
20200405,島根,0,161
20200405,岡山,10,390
20200405,広島,13,1040
20200405,山口,7,396
20200405,徳島,3,164
20200405,香川,2,344
20200405,愛媛,12,350
20200405,高知,24,482
20200405,福岡,67,1594
20200405,佐賀,6,184
20200405,長崎,8,505
20200405,熊本,16,1125
20200405,大分,31,1739
20200405,宮崎,4,346
20200405,鹿児島,3,346
20200405,沖縄,9,430
20200406,北海道,194,2296
20200406,青森,11,199
20200406,岩手,0,76
20200406,宮城,23,348
20200406,秋田,11,349
20200406,山形,10,369
20200406,福島,16,264
20200406,茨城,64,1383
20200406,栃木,14,657
20200406,群馬,26,866
20200406,埼玉,174,1550
20200406,千葉,238,876
20200406,東京,1040,3806
20200406,神奈川,226,1100
20200406,新潟,32,1248
20200406,富山,10,198
20200406,石川,43,264
20200406,福井,51,310
20200406,山梨,13,625
20200406,長野,12,670
20200406,岐阜,50,842
20200406,静岡,10,1006
20200406,愛知,227,2917
20200406,三重,13,598
20200406,滋賀,18,293
20200406,京都,111,1405
20200406,大阪,409,1311
20200406,兵庫,195,2805
20200406,奈良,25,368
20200406,和歌山,25,1580
20200406,鳥取,0,227
20200406,島根,0,163
20200406,岡山,11,390
20200406,広島,16,1053
20200406,山口,8,409
20200406,徳島,3,164
